t_block_1	T_block_1	t_water_in	T_water_in	t_block_2	T_block_2	t_water_out	T_water_out	t_amb	T_amb	t_flow	V_flow	t_block_prob	V_block_prob
813.0287163257599	20.015971756035356	814.5796673297882	19.761326251227423	816.1392819881439	20.993465741496358	817.6902029514313	21.35049260053075	819.2303810119629	23.999327325325325	806.8481349945068	3.18774286	808.3866121768951	0.0327918855
826.9388589859009	20.02214935772289	828.4909918308258	19.775317064552194	830.0276618003845	21.008686658901667	831.5651428699493	21.396141939946734	833.1102576255798	23.638193980247152	820.7713096141815	3.19112069	822.3151650428772	0.0327900973
840.8509123325348	20.012769692315498	842.3926231861115	19.769303720985842	843.931533575058	21.005561101569924	845.4852709770203	21.483812448165253	847.0232124328613	23.654055985527187	834.6503624916077	3.19435744	836.2043890953064	0.0327905412
854.7486279010773	20.037850685712	856.2869443893433	19.797099943407247	857.8422467708588	21.032978252674535	859.3797392845154	21.529565144481356	860.9231512546539	24.004378823330377	848.5762689113617	3.18591549	850.1180782318115	0.0327914332
868.6643648147583	20.029963999371848	870.1942708492279	19.793681411233802	871.737508058548	21.020141103400636	873.2809896469116	21.554840872350983	874.8421387672424	23.95432465953915	862.4742631912231	3.17338069	864.0227539539337	0.0327918792
882.5761325359344	20.050622737280023	884.1330690383911	19.801913686232385	885.7002847194672	21.029744492586033	887.236424446106	21.585793268027434	888.7883062362671	23.934659399480545	876.3953161239624	3.21374758	877.9351003170013	0.0327932193
896.5030159950256	20.051533920962274	898.0492770671844	19.79990581540462	899.5921244621277	21.01930435084393	901.1432061195374	21.616019682897246	902.6852583885193	23.778804519244705	890.345278263092	3.17913319	891.8854539394379	0.0327896302
910.3983039855957	20.069090872753783	911.9518518447876	19.811484526730855	913.4969480037689	21.050076653354132	915.0453219413757	21.661668891084283	916.6065788269043	23.90936496388864	904.2366194725037	3.19349136	905.7795913219452	0.0327918708
924.3227622509003	20.083463753031896	925.8643519878387	19.81531491724735	927.4081423282623	21.060033028456363	928.959792137146	21.696107057193224	930.5171504020691	23.769471443314124	918.1424379348755	3.1743854	919.6946856975555	0.032788288
938.2426040172577	20.08276879102548	939.788099527359	19.82288044444971	941.3238003253937	21.062831745448428	942.8595604896545	21.71260893786341	944.4065897464752	23.82337159765365	932.058286190033	3.17492472	933.6070306301117	0.0327909767
952.1351718902588	20.093641065660364	953.6708791255951	19.832832221426113	955.2216501235962	21.0557152417206	956.7765126228333	21.727562931891857	958.3263304233551	23.806076805369035	945.9525640010834	3.19831081	947.5119030475616	0.0327918729
966.0489099025726	20.093020749982422	967.5824704170227	19.833771795694055	969.1168737411499	21.066444082714806	970.6666784286499	21.739529249833637	972.2084808349609	23.618122907525574	959.8741035461426	3.19470216	961.4276671409607	0.0327905286
979.9483020305634	20.104124637944373	981.4959208965302	19.852189982588964	983.0348074436188	21.08386996625056	984.5809309482574	21.733198379105314	986.1100039482117	23.81163640529841	973.7535619735718	3.18849022	975.2979164123535	0.032792767
993.8452970981598	20.115344310360324	995.3789410591125	19.843450685588643	996.9221985340118	21.0785556628491	998.4486908912659	21.776164988573555	999.991192817688	24.069562748316297	987.6572184562683	3.18411375	989.2023437023163	0.0327900762
1007.672666311264	20.133925277117374	1009.2212133407593	19.869375062799897	1010.7746803760529	21.099545237012123	1012.3154423236847	21.786673591848523	1013.8465049266815	24.14076016957833	1001.5219945907593	3.20407943	1003.0641419887543	0.0327855909
1021.5483584403992	20.114860416178406	1023.0945348739624	19.85582212646595	1024.6334562301636	21.084415816568956	1026.1837422847748	21.826238097206094	1027.7129755020142	23.744562555631223	1015.3883612155914	3.2216842	1016.9278512001038	0.0327891716
1035.4339776039124	20.13494968533369	1036.9735946655273	19.86385350225741	1038.5173254013062	21.10291822720141	1040.0430674552917	21.839191060646716	1041.5840508937836	24.057792556845946	1029.244880437851	3.19426695	1030.802684545517	0.0327896134
1049.317059993744	20.129997518125425	1050.8602714538574	19.87104053880707	1052.4152870178223	21.112246781445645	1053.961151599884	21.875528458266917	1055.5043346881866	23.888812744530544	1043.135659456253	3.20403224	1044.6866521835327	0.0327869226
1063.2126250267029	20.137770667184576	1064.7394106388092	19.88600661889614	1066.2698407173157	21.11636135775224	1067.81494140625	21.88229472368009	1069.3439910411835	24.193060737305238	1057.036453485489	3.18388423	1058.589379787445	0.032788269
1077.069083929062	20.142516912514807	1078.6027736663818	19.89592476235633	1080.1469686031342	21.1177002715979	1081.6811339855194	21.884831751816208	1083.2235474586487	23.964904657965548	1070.886658191681	3.20375287	1072.4349973201752	0.0327873707
1090.9541499614716	20.14998116843374	1092.4889295101166	19.878706351520478	1094.0523166656494	21.11477526165731	1095.5952434539795	21.91860901818145	1097.128357887268	23.98059544060135	1084.7641270160675	3.19486501	1086.30708527565	0.0327860264
1104.8535590171814	20.164675413486002	1106.4002537727356	19.90004594372656	1107.9516413211823	21.12826486655073	1109.4964818954468	21.92607072170458	1111.0365631580353	24.087543954589272	1098.6679475307465	3.19070164	1100.219839334488	0.0327936401
1118.767781496048	20.15583416403393	1120.3161928653717	19.916808616211828	1121.8596119880676	21.159822700926533	1123.3849444389343	21.91903657867454	1124.9331126213074	23.990043877351273	1112.5754752159119	3.18880723	1114.1219274997711	0.0327837837
1132.6589982509613	20.15566943605007	1134.2051718235016	19.911101802003284	1135.7495007514954	21.165049797941045	1137.2786929607391	21.939119044366752	1138.8140861988068	23.972610887116378	1126.475890636444	3.18860134	1128.0193185806274	0.0327851259
